                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.90902,                 2.2492,                 1.4619,                0.62919,                0.32557,                0.34065,                 0.2625,                0.84949,                 1.9965,                 1.3845,               0.008878,               0.008878,               0.008878
                     37,                0.91872,                  2.233,                  1.478,                0.59495,                0.28461,                0.33173,                0.24993,                0.83879,                 1.9422,                 1.3776,               0.008845,               0.008845,               0.008845
                     38,                0.90056,                 2.2196,                 1.4561,                0.65758,                0.31499,                0.33326,                0.26148,                0.84188,                 1.9144,                 1.3822,               0.008812,               0.008812,               0.008812
                     39,                0.91309,                  2.186,                 1.4603,                0.56585,                0.33923,                0.35259,                0.27015,                0.84052,                 1.9356,                  1.366,               0.008779,               0.008779,               0.008779
                     40,                0.90323,                 2.2015,                 1.4575,                0.57488,                0.33903,                0.34573,                0.26537,                0.83617,                 1.9461,                 1.3625,               0.008746,               0.008746,               0.008746
                     41,                0.89135,                 2.1565,                 1.4452,                 0.6458,                0.30468,                0.34838,                0.27437,                0.81013,                 1.8907,                 1.3348,               0.008713,               0.008713,               0.008713
                     42,                0.87765,                 2.1246,                 1.4372,                0.70438,                0.29697,                0.36072,                0.28134,                0.81351,                 1.8838,                 1.3171,                0.00868,                0.00868,                0.00868
                     43,                0.88013,                 2.1066,                  1.432,                0.59354,                0.32973,                0.36191,                0.27776,                0.81443,                 1.8851,                 1.3373,               0.008647,               0.008647,               0.008647
                     44,                0.86597,                  2.076,                 1.4264,                0.45086,                0.35887,                0.35767,                0.27888,                0.79968,                 1.8753,                 1.3108,               0.008614,               0.008614,               0.008614
                     45,                0.87819,                 2.0928,                   1.43,                  0.686,                0.30741,                0.35359,                0.27748,                0.78908,                 1.8377,                 1.3131,               0.008581,               0.008581,               0.008581
                     46,                0.86738,                 2.0446,                 1.4193,                0.60191,                0.33539,                0.36364,                0.28391,                 0.7979,                 1.8038,                 1.3207,               0.008548,               0.008548,               0.008548
                     47,                0.85463,                  2.024,                 1.4134,                 0.6858,                0.35067,                0.38846,                0.30842,                0.79055,                 1.8095,                 1.3171,               0.008515,               0.008515,               0.008515
                     48,                0.85845,                 2.0481,                 1.4192,                0.60086,                0.35801,                0.38473,                0.29842,                0.79443,                 1.8053,                  1.326,               0.008482,               0.008482,               0.008482
                     49,                0.83874,                 1.9863,                 1.3983,                0.59773,                0.37677,                0.38302,                0.29903,                0.77207,                 1.7912,                 1.3064,               0.008449,               0.008449,               0.008449
                     50,                 0.8432,                 1.9845,                 1.4023,                0.68789,                0.35615,                0.39373,                0.30336,                0.79777,                  1.766,                  1.317,               0.008416,               0.008416,               0.008416
                     51,                0.84529,                 1.9829,                 1.4015,                0.64606,                0.34587,                0.38355,                 0.2992,                0.77132,                 1.7446,                 1.2957,               0.008383,               0.008383,               0.008383
                     52,                0.83111,                 1.9518,                 1.3909,                 0.6103,                0.37104,                0.39301,                0.31193,                 0.7715,                  1.743,                 1.3008,                0.00835,                0.00835,                0.00835
                     53,                 0.8421,                 1.9605,                 1.4051,                0.64596,                0.36466,                0.40701,                0.31891,                0.76628,                 1.7499,                 1.2963,               0.008317,               0.008317,               0.008317
                     54,                0.83872,                 1.9531,                 1.3932,                0.73536,                0.33822,                0.38897,                0.30352,                0.76773,                 1.7241,                 1.2902,               0.008284,               0.008284,               0.008284
                     55,                0.81833,                 1.9101,                 1.3833,                0.66275,                0.34414,                0.40532,                0.31785,                0.75678,                 1.7233,                 1.2841,               0.008251,               0.008251,               0.008251
                     56,                0.81493,                 1.8993,                 1.3788,                0.55414,                0.39907,                0.39833,                 0.3213,                0.73802,                 1.7192,                 1.2658,               0.008218,               0.008218,               0.008218
                     57,                0.80896,                 1.8754,                 1.3708,                0.59089,                0.40946,                0.41994,                0.33146,                0.75528,                 1.6527,                 1.2929,               0.008185,               0.008185,               0.008185
                     58,                0.81729,                 1.9027,                 1.3777,                0.70039,                0.35457,                0.40524,                0.31977,                0.76046,                 1.7094,                 1.2741,               0.008152,               0.008152,               0.008152
                     59,                0.80717,                  1.866,                 1.3676,                0.61796,                0.36172,                0.42454,                0.33719,                0.73893,                 1.6477,                 1.2755,               0.008119,               0.008119,               0.008119
                     60,                0.81058,                  1.855,                 1.3756,                0.61289,                0.39298,                0.42119,                0.32719,                0.73293,                 1.6472,                 1.2634,               0.008086,               0.008086,               0.008086
                     61,                 0.8053,                 1.8269,                 1.3659,                0.58815,                 0.4214,                 0.4294,                0.34257,                0.75636,                  1.633,                 1.2777,               0.008053,               0.008053,               0.008053
                     62,                0.81638,                  1.833,                  1.374,                0.66221,                0.39179,                0.44041,                0.35293,                0.73107,                 1.5832,                 1.2557,                0.00802,                0.00802,                0.00802
                     63,                0.79402,                  1.778,                  1.354,                0.78756,                0.35109,                0.41958,                0.33588,                0.73275,                 1.6583,                  1.257,               0.007987,               0.007987,               0.007987
                     64,                0.79155,                 1.7864,                 1.3534,                0.64162,                0.41843,                0.44628,                0.35121,                0.73771,                 1.5725,                 1.2633,               0.007954,               0.007954,               0.007954
                     65,                0.79115,                 1.7854,                 1.3584,                0.64354,                0.41332,                 0.4458,                 0.3575,                0.71543,                 1.6042,                 1.2389,               0.007921,               0.007921,               0.007921
                     66,                0.79226,                 1.7587,                 1.3514,                0.65846,                0.41106,                0.46014,                0.36485,                 0.7425,                  1.614,                 1.2647,               0.007888,               0.007888,               0.007888
                     67,                0.78001,                 1.7616,                 1.3431,                0.66552,                0.40182,                0.45118,                0.35562,                0.73178,                 1.5775,                 1.2512,               0.007855,               0.007855,               0.007855
                     68,                0.77567,                 1.7195,                 1.3357,                0.66011,                0.42177,                0.45798,                0.36617,                0.72167,                 1.5457,                 1.2551,               0.007822,               0.007822,               0.007822
                     69,                0.78056,                 1.7616,                 1.3425,                0.71874,                0.40106,                0.46391,                0.36979,                0.72162,                 1.5401,                 1.2388,               0.007789,               0.007789,               0.007789
                     70,                 0.7723,                 1.7116,                 1.3383,                0.72322,                0.40717,                0.45947,                0.35997,                0.72846,                 1.5659,                 1.2563,               0.007756,               0.007756,               0.007756
