                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.88584,                 1.9774,                 1.4169,                0.59415,                0.34674,                0.36408,                0.28272,                0.87106,                 1.8926,                 1.4045,               0.008878,               0.008878,               0.008878
                     37,                0.87041,                 1.9352,                 1.4109,                0.59935,                0.35682,                0.39045,                 0.3049,                0.83995,                 1.7821,                 1.3743,               0.008845,               0.008845,               0.008845
                     38,                0.87005,                 1.9138,                 1.4042,                0.72524,                0.33809,                 0.3805,                0.30316,                0.82492,                  1.784,                 1.3475,               0.008812,               0.008812,               0.008812
                     39,                0.86087,                 1.8803,                 1.3964,                0.69422,                0.36414,                0.40776,                0.31376,                 0.8341,                  1.776,                 1.3617,               0.008779,               0.008779,               0.008779
                     40,                0.85823,                 1.8909,                 1.3964,                0.61268,                0.33494,                0.36848,                0.28498,                0.84739,                 1.9217,                 1.3819,               0.008746,               0.008746,               0.008746
                     41,                0.83647,                 1.8364,                 1.3747,                 0.5795,                0.37574,                0.39622,                0.30802,                0.81382,                 1.7363,                  1.342,               0.008713,               0.008713,               0.008713
                     42,                0.84799,                 1.8488,                  1.385,                 0.5988,                0.36443,                0.38923,                0.30754,                0.80817,                 1.7501,                 1.3332,                0.00868,                0.00868,                0.00868
                     43,                0.82923,                 1.7957,                   1.37,                0.53921,                0.38341,                0.40108,                0.31207,                0.83134,                 1.7483,                 1.3647,               0.008647,               0.008647,               0.008647
                     44,                0.82572,                 1.7933,                 1.3631,                0.57018,                0.36305,                0.41199,                0.32255,                0.80593,                 1.7695,                 1.3311,               0.008614,               0.008614,               0.008614
                     45,                0.82593,                 1.7732,                 1.3667,                 0.7174,                0.37958,                0.41978,                0.32856,                 0.8242,                 1.7686,                 1.3397,               0.008581,               0.008581,               0.008581
                     46,                0.82341,                 1.7521,                 1.3564,                0.75405,                0.35225,                0.42964,                0.34031,                 0.8051,                 1.6569,                 1.3383,               0.008548,               0.008548,               0.008548
                     47,                0.81126,                 1.7291,                 1.3486,                0.66352,                0.42191,                0.44229,                0.34013,                 0.7819,                 1.6311,                 1.3055,               0.008515,               0.008515,               0.008515
                     48,                0.80785,                 1.7119,                 1.3434,                 0.6353,                0.36963,                0.42914,                 0.3299,                0.80471,                 1.6592,                  1.332,               0.008482,               0.008482,               0.008482
                     49,                0.81485,                 1.7028,                 1.3517,                0.63888,                 0.3713,                0.43597,                0.33965,                0.80419,                 1.6802,                 1.3369,               0.008449,               0.008449,               0.008449
                     50,                0.80244,                 1.6955,                 1.3423,                0.66011,                0.38907,                0.42782,                0.33507,                 0.8167,                 1.6921,                  1.336,               0.008416,               0.008416,               0.008416
                     51,                0.80225,                 1.6598,                 1.3376,                0.50513,                0.41666,                0.44101,                0.33657,                 0.7946,                 1.6804,                 1.3193,               0.008383,               0.008383,               0.008383
                     52,                0.79018,                 1.6629,                 1.3254,                 0.4865,                0.45035,                0.43867,                0.33525,                 0.7801,                 1.6569,                  1.304,                0.00835,                0.00835,                0.00835
                     53,                0.78885,                 1.6336,                 1.3289,                0.76722,                0.37851,                0.44528,                0.35083,                0.77177,                 1.6122,                 1.2994,               0.008317,               0.008317,               0.008317
                     54,                0.78185,                 1.6175,                 1.3243,                0.66191,                0.38893,                0.45121,                0.35324,                 0.7787,                 1.6527,                 1.3067,               0.008284,               0.008284,               0.008284
                     55,                0.77983,                 1.6221,                 1.3221,                0.64256,                0.40517,                0.44875,                0.35424,                0.77301,                 1.6018,                 1.3047,               0.008251,               0.008251,               0.008251
                     56,                0.78383,                 1.5963,                 1.3256,                0.73756,                0.37381,                0.44115,                0.35377,                0.75878,                 1.6044,                  1.293,               0.008218,               0.008218,               0.008218
                     57,                0.76909,                 1.5738,                 1.3086,                0.70274,                0.41219,                0.45692,                0.36137,                0.76854,                 1.5658,                 1.2871,               0.008185,               0.008185,               0.008185
                     58,                0.77252,                 1.5883,                 1.3187,                0.64779,                0.42771,                0.47407,                0.37385,                0.75618,                 1.5539,                 1.2855,               0.008152,               0.008152,               0.008152
                     59,                0.76608,                  1.562,                 1.3124,                0.53692,                0.45202,                0.46263,                0.36579,                0.74867,                  1.547,                 1.2802,               0.008119,               0.008119,               0.008119
                     60,                0.76236,                 1.5368,                 1.3059,                 0.5441,                0.46979,                0.47095,                0.37005,                0.73727,                 1.5681,                 1.2569,               0.008086,               0.008086,               0.008086
                     61,                0.76456,                 1.5208,                  1.308,                0.56574,                0.43525,                 0.4692,                0.36899,                 0.7563,                 1.5353,                 1.2655,               0.008053,               0.008053,               0.008053
                     62,                0.75536,                 1.5182,                 1.3006,                0.66552,                0.41371,                0.46363,                0.36286,                0.73606,                 1.5302,                 1.2649,                0.00802,                0.00802,                0.00802
                     63,                0.74303,                 1.4804,                 1.2943,                0.59311,                0.43108,                0.47734,                0.37525,                0.74316,                 1.5099,                 1.2673,               0.007987,               0.007987,               0.007987
                     64,                0.75147,                  1.487,                 1.2969,                0.72454,                0.37675,                0.46033,                0.36339,                0.72923,                 1.5373,                 1.2627,               0.007954,               0.007954,               0.007954
                     65,                0.74712,                 1.4779,                 1.2918,                0.58924,                0.43699,                0.46676,                0.36717,                0.72878,                 1.5194,                 1.2613,               0.007921,               0.007921,               0.007921
                     66,                0.73839,                 1.4611,                 1.2832,                0.55896,                0.42739,                0.47145,                0.37847,                0.75028,                  1.485,                 1.2681,               0.007888,               0.007888,               0.007888
                     67,                 0.7371,                   1.44,                 1.2802,                0.67664,                0.40514,                 0.4756,                0.37828,                0.73028,                 1.4645,                 1.2564,               0.007855,               0.007855,               0.007855
                     68,                0.72463,                 1.4332,                 1.2708,                0.72773,                0.41329,                0.49889,                0.39528,                0.72805,                 1.4718,                 1.2515,               0.007822,               0.007822,               0.007822
                     69,                0.73186,                 1.4224,                 1.2782,                0.74276,                0.43638,                0.48797,                0.39077,                0.72329,                 1.4373,                 1.2522,               0.007789,               0.007789,               0.007789
                     70,                0.72258,                 1.4047,                 1.2699,                0.54995,                0.46524,                 0.4792,                0.38718,                0.72375,                 1.4777,                  1.254,               0.007756,               0.007756,               0.007756
                     71,                0.72486,                 1.4013,                 1.2709,                0.72012,                0.45028,                0.50284,                0.40194,                0.72319,                 1.4659,                 1.2606,               0.007723,               0.007723,               0.007723
                     72,                0.71788,                 1.3975,                 1.2709,                0.66686,                0.41172,                0.47777,                0.37952,                0.73488,                 1.4635,                 1.2666,                0.00769,                0.00769,                0.00769
                     73,                0.70715,                 1.3775,                 1.2604,                0.65121,                0.45121,                0.49644,                0.40218,                0.71543,                 1.4511,                 1.2515,               0.007657,               0.007657,               0.007657
                     74,                0.72054,                 1.3631,                 1.2708,                0.66694,                0.44494,                0.49493,                0.39707,                0.71817,                 1.4522,                 1.2533,               0.007624,               0.007624,               0.007624
                     75,                0.70997,                  1.355,                 1.2616,                0.70965,                  0.425,                 0.4901,                0.40198,                0.70738,                 1.4544,                  1.236,               0.007591,               0.007591,               0.007591
